student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,profile_json,email_valid,phone_valid,profile_json_parsed,hobbies,skills,family,devices,skills_python,skills_excel,skills_sql,skills_soft,family_siblings,family_income_father,family_income_mother,device_types,device_brands,device_years,addr_city,addr_district,addr_postal
11,Shawn Baker ,19,Unknown,87,+19868509629,Zhangstad,,2025-06-10 00:00:00,Data Science,100.0,active,3.7,excellent,183.0,2001-06-06 05:29:47,"Apartment 34, North Samantha district, Tashkent, UZ, 100659",INVALID_JSON_DATA,False,True,,,,,,,,,,,,,,,,Tashkent,North Samantha district,100659
12,Unknown,18,Female,71,,Austinside,,2013-01-14 19:16:00,Data Science,100.0,inactive,3.06,average,208.0,2003-05-27 00:00:00,"Apartment 13, Morrismouth district, Tashkent, UZ, 100315","{hobbies:['forward', 'like']}",False,False,"{""hobbies"": [""forward"", ""like""]}",forward|like,,,,,,,,,,,,,,Tashkent,Morrismouth district,100315
13,Unknown,19,Female,90,+12235736311,Lesliefurt,,2014-12-24 00:00:00,Data Science,100.0,inactive,3.06,excellent,84.0,2010-11-21 00:00:00,"Frankchester 9-kv, dom 20, Tashkent",INVALID_JSON_DATA,False,True,,,,,,,,,,,,,,,,Tashkent,Frankchester,
14,Thomas Prince,20,Unknown,87,,East Michellestad,aphillips@holland-diaz.org,2012-02-09 00:00:00,Python,100.0,inactive,3.06,excellent,210.0,2013-05-14 00:00:00,UZ 100394 Tashkent Stevensborough,"{hobbies:['understand', 'become']}",True,False,"{""hobbies"": [""understand"", ""become""]}",understand|become,,,,,,,,,,,,,,Tashkent,Stevensborough,100394
15,Unknown,21,Male,73,,Michellebury,kevin65@maxwell.info,1971-03-17 08:30:18,Python,100.0,pending,3.7,good,191.0,1984-10-29 14:14:47,"Davidborough 9-kv, dom 29, Tashkent",INVALID_JSON_DATA,True,False,,,,,,,,,,,,,,,,Tashkent,Davidborough,
16,Adrian Allen,20,Female,87,,Antoniobury,,1999-08-29 00:00:00,Python,100.0,pending,3.7,excellent,53.0,1983-10-13 00:00:00,"1965 Jacobs Branch Apt. 418, Timburgh","{'hobbies': ['partner', 'race'], 'skills': {'tech': {'python': 4, 'excel': 4, 'sql': 4}, 'soft': ['onto', 'owner']}, 'family': {'siblings': 3, 'income': {'father': 798, 'mother': 626}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2019}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]}",False,False,"{""hobbies"": [""partner"", ""race""], ""skills"": {""tech"": {""python"": 4, ""excel"": 4, ""sql"": 4}, ""soft"": [""onto"", ""owner""]}, ""family"": {""siblings"": 3, ""income"": {""father"": 798, ""mother"": 626}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2019}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2022}]}",partner|race,"{""tech"": {""python"": 4, ""excel"": 4, ""sql"": 4}, ""soft"": [""onto"", ""owner""]}","{""siblings"": 3, ""income"": {""father"": 798, ""mother"": 626}}","[{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2019}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2022}]",4.0,4.0,4.0,onto|owner,3.0,798.0,626.0,laptop|phone,Dell|Apple,2019|2022,Timburgh,1965 Jacobs Branch Apt. 418,
17,Stephen Lyons,19,Unknown,76,,New Adam,,2009-10-13 02:20:00,Data Science,100.0,active,3.06,good,110.0,1984-12-04 09:17:45,UZ 100399 Tashkent Joehaven,"{'hobbies': ['nothing', 'community'], 'skills': {'tech': {'python': 1, 'excel': 1, 'sql': 5}, 'soft': ['wear', 'will']}, 'family': {'siblings': 1, 'income': {'father': 772, 'mother': 498}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]}",False,False,"{""hobbies"": [""nothing"", ""community""], ""skills"": {""tech"": {""python"": 1, ""excel"": 1, ""sql"": 5}, ""soft"": [""wear"", ""will""]}, ""family"": {""siblings"": 1, ""income"": {""father"": 772, ""mother"": 498}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2023}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2021}]}",nothing|community,"{""tech"": {""python"": 1, ""excel"": 1, ""sql"": 5}, ""soft"": [""wear"", ""will""]}","{""siblings"": 1, ""income"": {""father"": 772, ""mother"": 498}}","[{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2023}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2021}]",1.0,1.0,5.0,wear|will,1.0,772.0,498.0,laptop|phone,Lenovo|Apple,2023|2021,Tashkent,Joehaven,100399
18,Zachary Lyons ,18,Male,68,+12425525722,Chenport,,2003-09-25 00:00:00,Data Science,100.0,inactive,3.06,average,138.0,1997-08-27 00:00:00,"Apartment 22, Port Kevin district, Tashkent, UZ, 100106",INVALID_JSON_DATA,False,True,,,,,,,,,,,,,,,,Tashkent,Port Kevin district,100106
19,Unknown,20,Female,50,+11790996883,West Danaville,,1974-02-20 00:00:00,Data Science,100.0,active,3.05,excellent,66.0,1976-05-07 00:00:00,"BROKEN,ADDRESS,DATA,,,",INVALID_JSON_DATA,False,True,,,,,,,,,,,,,,,,,,
20,Anthony Hardy ,20,Male,90,+16692728730,Kimport,,1973-05-20 19:05:00,Data Science,65.0,pending,3.06,excellent,218.0,2021-07-23 07:23:13,"Masontown 10-kv, dom 21, Tashkent","{'hobbies': ['certainly', 'defense'], 'skills': {'tech': {'python': 5, 'excel': 2, 'sql': 4}, 'soft': ['medical', 'quality']}, 'family': {'siblings': 4, 'income': {'father': 1220, 'mother': 1220}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2018}, {'type': 'phone', 'brand': 'Apple', 'year': 2019}]}",False,True,"{""hobbies"": [""certainly"", ""defense""], ""skills"": {""tech"": {""python"": 5, ""excel"": 2, ""sql"": 4}, ""soft"": [""medical"", ""quality""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 1220, ""mother"": 1220}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2018}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2019}]}",certainly|defense,"{""tech"": {""python"": 5, ""excel"": 2, ""sql"": 4}, ""soft"": [""medical"", ""quality""]}","{""siblings"": 4, ""income"": {""father"": 1220, ""mother"": 1220}}","[{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2018}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2019}]",5.0,2.0,4.0,medical|quality,4.0,1220.0,1220.0,laptop|phone,Lenovo|Apple,2018|2019,Tashkent,Masontown,
21,Hector Beltran,20,Male,52,,North Harry,preid@hotmail.com,2010-02-02 00:00:00,Data Science,100.0,active,3.06,good,153.0,1983-03-31 17:15:15,"BROKEN,ADDRESS,DATA,,,",INVALID_JSON_DATA,True,False,,,,,,,,,,,,,,,,,,
22,Tara Nguyen ,22,Unknown,73,+10388742999,Brittanychester,,2000-06-04 17:46:54,Python,78.0,inactive,3.06,excellent,174.0,2020-11-26 00:00:00,UZ 100063 Tashkent Lake Shaneland,"{'hobbies': ['create', 'accept'], 'skills': {'tech': {'python': 1, 'excel': 3, 'sql': 1}, 'soft': ['new', 'manager']}, 'family': {'siblings': 3, 'income': {'father': 1140, 'mother': 1117}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2016}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2018}]}",False,True,"{""hobbies"": [""create"", ""accept""], ""skills"": {""tech"": {""python"": 1, ""excel"": 3, ""sql"": 1}, ""soft"": [""new"", ""manager""]}, ""family"": {""siblings"": 3, ""income"": {""father"": 1140, ""mother"": 1117}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2016}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2018}]}",create|accept,"{""tech"": {""python"": 1, ""excel"": 3, ""sql"": 1}, ""soft"": [""new"", ""manager""]}","{""siblings"": 3, ""income"": {""father"": 1140, ""mother"": 1117}}","[{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2016}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2018}]",1.0,3.0,1.0,new|manager,3.0,1140.0,1117.0,laptop|phone,Dell|Xiaomi,2016|2018,Tashkent,Lake Shaneland,100063
23,Jessica Robinson ,22,Male,90,+11697150937,Jonesfurt,,2010-05-10 12:48:00,Data Science,81.0,inactive,3.7,good,261.0,2005-06-09 00:00:00,"0451 James Cliffs Suite 725, Wagnermouth","{hobbies:['type', 'beautiful']}",False,True,"{""hobbies"": [""type"", ""beautiful""]}",type|beautiful,,,,,,,,,,,,,,Wagnermouth,0451 James Cliffs Suite 725,
24,Latoya Williams,18,Male,60,,North Ashleyborough,,2021-08-06 11:33:00,Data Science,100.0,pending,3.7,excellent,148.0,2021-11-12 15:59:30,"0258 Sean Keys Apt. 380, Kevinfort","{'hobbies': ['step', 'section'], 'skills': {'tech': {'python': 1, 'excel': 5, 'sql': 3}, 'soft': ['beat', 'popular']}, 'family': {'siblings': 0, 'income': {'father': 1376, 'mother': 871}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2022}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2019}]}",False,False,"{""hobbies"": [""step"", ""section""], ""skills"": {""tech"": {""python"": 1, ""excel"": 5, ""sql"": 3}, ""soft"": [""beat"", ""popular""]}, ""family"": {""siblings"": 0, ""income"": {""father"": 1376, ""mother"": 871}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2022}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2019}]}",step|section,"{""tech"": {""python"": 1, ""excel"": 5, ""sql"": 3}, ""soft"": [""beat"", ""popular""]}","{""siblings"": 0, ""income"": {""father"": 1376, ""mother"": 871}}","[{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2022}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2019}]",1.0,5.0,3.0,beat|popular,0.0,1376.0,871.0,laptop|phone,Dell|Xiaomi,2022|2019,Kevinfort,0258 Sean Keys Apt. 380,
25,Unknown,21,Unknown,90,,Donnaview,,2025-03-08 00:00:00,Data Science,100.0,pending,3.06,excellent,135.0,2000-07-16 13:07:00,"06462 Buck Springs Apt. 169, North Lisa","{'hobbies': ['phone', 'consider'], 'skills': {'tech': {'python': 1, 'excel': 3, 'sql': 2}, 'soft': ['must', 'around']}, 'family': {'siblings': 0, 'income': {'father': 1453, 'mother': 206}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2019}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2020}]}",False,False,"{""hobbies"": [""phone"", ""consider""], ""skills"": {""tech"": {""python"": 1, ""excel"": 3, ""sql"": 2}, ""soft"": [""must"", ""around""]}, ""family"": {""siblings"": 0, ""income"": {""father"": 1453, ""mother"": 206}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2019}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2020}]}",phone|consider,"{""tech"": {""python"": 1, ""excel"": 3, ""sql"": 2}, ""soft"": [""must"", ""around""]}","{""siblings"": 0, ""income"": {""father"": 1453, ""mother"": 206}}","[{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2019}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2020}]",1.0,3.0,2.0,must|around,0.0,1453.0,206.0,laptop|phone,Lenovo|Xiaomi,2019|2020,North Lisa,06462 Buck Springs Apt. 169,
26,Unknown,21,Female,90,,Harrisbury,,2022-07-18 17:43:00,Data Science,96.0,pending,3.06,good,299.0,2001-02-12 00:00:00,"Apartment 20, Lake Crystal district, Tashkent, UZ, 100119","{'hobbies': ['tough', 'role'], 'skills': {'tech': {'python': 3, 'excel': 1, 'sql': 2}, 'soft': ['south', 'his']}, 'family': {'siblings': 1, 'income': {'father': 623, 'mother': 577}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2022}, {'type': 'phone', 'brand': 'Apple', 'year': 2019}]}",False,False,"{""hobbies"": [""tough"", ""role""], ""skills"": {""tech"": {""python"": 3, ""excel"": 1, ""sql"": 2}, ""soft"": [""south"", ""his""]}, ""family"": {""siblings"": 1, ""income"": {""father"": 623, ""mother"": 577}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2022}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2019}]}",tough|role,"{""tech"": {""python"": 3, ""excel"": 1, ""sql"": 2}, ""soft"": [""south"", ""his""]}","{""siblings"": 1, ""income"": {""father"": 623, ""mother"": 577}}","[{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2022}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2019}]",3.0,1.0,2.0,south|his,1.0,623.0,577.0,laptop|phone,Dell|Apple,2022|2019,Tashkent,Lake Crystal district,100119
27,Emily Cummings,22,Female,59,,East Dariuston,,2023-04-28 18:06:01,Python,100.0,inactive,1.18,average,245.0,2000-12-24 00:42:00,"Apartment 27, South David district, Tashkent, UZ, 100696","{""hobbies"": [""billion"", ""feeling""], ""skills"": {""tech"": {""python"": 3, ""excel"": 1, ""sql"": 3}, ""soft"": [""thought"", ""particularly""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 303, ""mother"": 1245}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2023}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2023}]}",False,False,"{""hobbies"": [""billion"", ""feeling""], ""skills"": {""tech"": {""python"": 3, ""excel"": 1, ""sql"": 3}, ""soft"": [""thought"", ""particularly""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 303, ""mother"": 1245}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2023}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2023}]}",billion|feeling,"{""tech"": {""python"": 3, ""excel"": 1, ""sql"": 3}, ""soft"": [""thought"", ""particularly""]}","{""siblings"": 4, ""income"": {""father"": 303, ""mother"": 1245}}","[{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2023}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2023}]",3.0,1.0,3.0,thought|particularly,4.0,303.0,1245.0,laptop|phone,Lenovo|Samsung,2023|2023,Tashkent,South David district,100696
28,Brandy Powell ,20,Unknown,87,+14042330292,Oconnellburgh,,2000-07-27 00:00:00,Python,100.0,inactive,3.06,excellent,285.0,2014-07-31 11:40:00,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['energy', 'however'], 'skills': {'tech': {'python': 2, 'excel': 1, 'sql': 3}, 'soft': ['either', 'plan']}, 'family': {'siblings': 4, 'income': {'father': 1105, 'mother': 1106}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Samsung', 'year': 2022}]}",False,True,"{""hobbies"": [""energy"", ""however""], ""skills"": {""tech"": {""python"": 2, ""excel"": 1, ""sql"": 3}, ""soft"": [""either"", ""plan""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 1105, ""mother"": 1106}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2023}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2022}]}",energy|however,"{""tech"": {""python"": 2, ""excel"": 1, ""sql"": 3}, ""soft"": [""either"", ""plan""]}","{""siblings"": 4, ""income"": {""father"": 1105, ""mother"": 1106}}","[{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2023}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2022}]",2.0,1.0,3.0,either|plan,4.0,1105.0,1106.0,laptop|phone,Lenovo|Samsung,2023|2022,,,
29,Unknown,21,Male,88,+15211681029,West Rachel,elizabeth49@yahoo.com,2014-09-19 00:00:00,Data Science,100.0,inactive,3.06,excellent,295.0,1992-05-20 00:00:00,"241 Sarah Spring, Bridgetton",INVALID_JSON_DATA,True,True,,,,,,,,,,,,,,,,Bridgetton,241 Sarah Spring,
